Date,ts1,ts2
2014-08-20,5982,7929
2014-08-19,6890,8539
2014-08-18,7444,9631
2014-08-17,0,0
2014-08-16,2254,6597
2014-08-15,4095,5746
2014-08-14,4588,5435
2014-08-13,4178,5513
2014-08-12,4351,4911
2014-08-11,4815,6381
2014-08-10,0,0
2014-08-09,2483,6109
2014-08-08,5187,6368
2014-08-07,6240,6750
2014-08-06,6070,6746
2014-08-05,7054,7438
2014-08-04,8066,10061
2014-08-03,0,0
2014-08-02,3100,6233
2014-08-01,6115,8424
2014-07-31,7337,8176
2014-07-30,6219,7001
2014-07-29,6700,5200
2014-07-28,7774,7415
2014-07-27,0,0
2014-07-26,2656,5131
2014-07-25,3959,5176
2014-07-24,4357,6086
2014-07-23,3557,5076
2014-07-22,3884,5982
2014-07-21,5180,5713
2014-07-20,0,0
2014-07-19,2445,5494
2014-07-18,5007,6513
2014-07-17,7147,7173
2014-07-16,6317,6812
2014-07-15,7085,8652
2014-07-14,7606,8532
2014-07-13,0,0
2014-07-12,2969,6388
2014-07-11,4483,5765
2014-07-10,5518,5924
2014-07-09,4267,5533
2014-07-08,4331,4364
2014-07-07,5486,6920
2014-07-06,0,0
2014-07-05,2565,6366
2014-07-04,5093,6406
2014-07-03,6978,7373
2014-07-02,6475,7525
2014-07-01,8053,8829
2014-06-30,9775,12046
2014-06-29,0,0
2014-06-28,2810,6162
2014-06-27,4334,5780
2014-06-26,4779,4515
2014-06-25,4058,4961
2014-06-24,4828,4965
2014-06-23,4795,6044
2014-06-22,0,0
2014-06-21,2759,6441
2014-06-20,5236,9912
2014-06-19,6638,0
2014-06-18,5944,7765
2014-06-17,6640,8134
2014-06-16,7949,8999
2014-06-15,0,0
2014-06-14,2576,6392
2014-06-13,4417,6052
2014-06-12,5671,5728
2014-06-11,4787,6042
2014-06-10,5891,6937
2014-06-09,0,0
2014-06-08,0,0
2014-06-07,2878,6677
2014-06-06,5789,7976
2014-06-05,6476,7192
2014-06-04,7052,7814
2014-06-03,7251,8225
2014-06-02,8799,10768
2014-06-01,0,0
2014-05-31,2990,6444
2014-05-30,5717,7724
2014-05-29,0,0
2014-05-28,5137,6645
2014-05-27,5174,6037
2014-05-26,4871,5037
2014-05-25,0,0
2014-05-24,2657,6528
2014-05-23,4887,6776
2014-05-22,6673,5849
2014-05-21,5064,6174
2014-05-20,6191,6740
2014-05-19,7996,8557
2014-05-18,0,0
2014-05-17,2617,5333
2014-05-16,3941,5806
2014-05-15,4808,5650
2014-05-14,5203,4589
2014-05-13,4609,5398
2014-05-12,4623,6028
2014-05-11,0,0
2014-05-10,2713,5898
2014-05-09,5925,6718
2014-05-08,5968,6325
2014-05-07,5357,7271
2014-05-06,7095,7348
2014-05-05,8967,9326
2014-05-04,0,0
2014-05-03,2907,5975
2014-05-02,6775,9004
2014-05-01,0,0
2014-04-30,7589,7812
2014-04-29,6998,7872
2014-04-28,7840,8390
2014-04-27,0,0
2014-04-26,2298,5970
2014-04-25,3364,4599
2014-04-24,4888,4646
2014-04-23,4229,4613
2014-04-22,4863,5451
2014-04-21,0,0
2014-04-20,0,0
2014-04-19,3144,6885
2014-04-18,0,0
2014-04-17,7662,7819
2014-04-16,6931,7135
2014-04-15,8942,8318
2014-04-14,8189,9731
2014-04-13,0,0
2014-04-12,2833,5998
2014-04-11,4194,5426
2014-04-10,5381,5367
2014-04-09,4406,5492
2014-04-08,4506,5137
2014-04-07,4816,6753
2014-04-06,0,0
2014-04-05,2677,5996
2014-04-04,4978,7112
2014-04-03,6697,6139
2014-04-02,6452,6851
2014-04-01,8406,7152
2014-03-31,8934,9405
2014-03-30,0,0
2014-03-29,2866,5302
2014-03-28,4502,5392
2014-03-27,5091,4744
2014-03-26,4172,4459
2014-03-25,4490,4840
2014-03-24,4550,5253
2014-03-23,0,0
2014-03-22,2701,5776
2014-03-21,4308,6227
2014-03-20,5616,5894
2014-03-19,5517,6400
2014-03-18,6688,7380
2014-03-17,7658,9167
2014-03-16,0,0
2014-03-15,2519,6799
2014-03-14,3929,5987
2014-03-13,4921,5441
2014-03-12,4191,4881
2014-03-11,4386,5506
2014-03-10,4311,6280
2014-03-09,0,0
2014-03-08,2806,5405
2014-03-07,5634,6708
2014-03-06,6717,6828
2014-03-05,6329,7671
2014-03-04,7519,8175
2014-03-03,9385,9434
2014-03-02,0,0
2014-03-01,3557,6913
2014-02-28,4403,6249
2014-02-27,5122,5727
2014-02-26,3719,5627
2014-02-25,3831,4904
2014-02-24,4448,5880
2014-02-23,0,0
2014-02-22,2838,6734
2014-02-21,5064,6381
2014-02-20,6580,6259
2014-02-19,5299,6526
2014-02-18,7008,7663
2014-02-17,8750,10145
2014-02-16,0,0
2014-02-15,2751,5972
2014-02-14,4423,5567
2014-02-13,5555,5345
2014-02-12,4076,5070
2014-02-11,4514,5051
2014-02-10,4777,5904
2014-02-09,0,0
2014-02-08,2804,5729
2014-02-07,5145,6345
2014-02-06,6649,7008
2014-02-05,6595,7514
2014-02-04,7493,8236
2014-02-03,8864,10646
2014-02-02,0,0
2014-02-01,2845,6584
2014-01-31,4380,6715
2014-01-30,5550,4651
2014-01-29,3977,4571
2014-01-28,4137,4651
2014-01-27,4360,5095
2014-01-26,0,0
2014-01-25,2424,6031
2014-01-24,4992,6769
2014-01-23,6666,5800
2014-01-22,5726,6256
2014-01-21,6390,7391
2014-01-20,8293,10173
2014-01-19,0,0
2014-01-18,2089,6118
2014-01-17,3984,5936
2014-01-16,4352,4868
2014-01-15,3594,4830
2014-01-14,3929,5218
2014-01-13,4129,6004
2014-01-12,0,0
2014-01-11,2563,5903
2014-01-10,5481,6710
2014-01-09,6011,5415
2014-01-08,5677,6620
2014-01-07,6468,7671
2014-01-06,8611,9920
2014-01-05,0,0
2014-01-04,2368,6695
2014-01-03,4095,6054
2014-01-02,5177,5585
2014-01-01,0,0
2013-12-31,2694,4302
2013-12-30,5735,8034
2013-12-29,0,0
2013-12-28,2481,5981
2013-12-27,4777,6141
2013-12-26,0,0
2013-12-25,0,0
2013-12-24,3311,3932
2013-12-23,8753,11032
2013-12-22,0,0
2013-12-21,4307,9456
2013-12-20,8010,9849
2013-12-19,7867,8222
2013-12-18,8575,8672
2013-12-17,9375,9620
2013-12-16,10322,11444
2013-12-15,0,0
2013-12-14,3346,6208
2013-12-13,4975,5633
2013-12-12,5784,5296
2013-12-11,4912,5635
2013-12-10,5388,5725
2013-12-09,5099,6350
2013-12-08,0,0
2013-12-07,3881,7046
2013-12-06,5501,6466
2013-12-05,7335,6715
2013-12-04,6884,6470
2013-12-03,8255,7711
2013-12-02,9550,8623
2013-12-01,0,0
2013-11-30,4069,8052
2013-11-29,5032,5741
2013-11-28,5797,6264
2013-11-27,4533,4971
2013-11-26,4714,5053
2013-11-25,5028,5004
2013-11-24,0,0
2013-11-23,3077,5507
2013-11-22,4925,5949
2013-11-21,6341,5834
2013-11-20,6195,6310
2013-11-19,6779,6914
2013-11-18,7831,8200
2013-11-17,0,0
2013-11-16,2523,5304
2013-11-15,4319,5074
2013-11-14,5046,5065
2013-11-13,4248,4870
2013-11-12,4276,4361
2013-11-11,4507,5273
2013-11-10,0,0
2013-11-09,2474,6122
2013-11-08,5547,6853
2013-11-07,6685,5415
2013-11-06,5816,6075
2013-11-05,7629,7619
2013-11-04,7156,8701
2013-11-03,0,0
2013-11-02,2937,6643
2013-11-01,4724,0
2013-10-31,5995,6239
2013-10-30,4695,4801
2013-10-29,4284,4654
2013-10-28,3893,5441
2013-10-27,0,0
2013-10-26,2284,5093
2013-10-25,4970,5281
2013-10-24,6093,5719
2013-10-23,5349,5363
2013-10-22,6778,5780
2013-10-21,7723,8308
2013-10-20,0,0
2013-10-19,2742,4992
2013-10-18,3820,5020
2013-10-17,3915,4357
2013-10-16,3511,5548
2013-10-15,3851,4459
2013-10-14,5157,5433
2013-10-13,0,0
2013-10-12,2153,5946
2013-10-11,5018,5723
2013-10-10,6000,5610
2013-10-09,5218,6123
2013-10-08,6621,7291
2013-10-07,8217,9089
2013-10-06,0,0
2013-10-05,2862,5238
2013-10-04,4802,6924
2013-10-03,0,0
2013-10-02,4771,6187
2013-10-01,4857,5891
2013-09-30,5396,6511
2013-09-29,0,0
2013-09-28,2604,5174
2013-09-27,4989,5650
2013-09-26,6475,5216
2013-09-25,5200,5199
2013-09-24,6431,5854
2013-09-23,7534,7903
2013-09-22,0,0
2013-09-21,2023,4782
2013-09-20,3628,4859
2013-09-19,4278,4677
2013-09-18,3545,4693
2013-09-17,4473,4830
2013-09-16,4001,5165
2013-09-15,0,0
2013-09-14,2382,4735
2013-09-13,5226,6550
2013-09-12,6614,5867
2013-09-11,5863,6617
2013-09-10,7007,6218
2013-09-09,7467,9247
2013-09-08,0,0
2013-09-07,2323,5352
2013-09-06,3586,5272
2013-09-05,4907,4588
2013-09-04,4359,5472
2013-09-03,4698,4986
2013-09-02,3931,6509
2013-09-01,0,0
2013-08-31,2942,5644
2013-08-30,6390,6553
2013-08-29,6844,6679
2013-08-28,6032,5485
2013-08-27,6986,6421
2013-08-26,8021,8848
2013-08-25,0,0
2013-08-24,1890,4092
2013-08-23,4104,4566
2013-08-22,4272,5039
2013-08-21,3740,4177
2013-08-20,4103,4939
2013-08-19,4048,4838
2013-08-18,0,0
2013-08-17,1725,4416
2013-08-16,4651,5274
2013-08-15,6922,5633
2013-08-14,6040,5910
2013-08-13,7033,5957
2013-08-12,8337,9376
2013-08-11,0,0
2013-08-10,2378,4838
2013-08-09,3901,5206
2013-08-08,4648,4664
2013-08-07,4158,4709
2013-08-06,4090,4922
2013-08-05,4805,5455
2013-08-04,0,0
2013-08-03,2372,4893
2013-08-02,4905,5790
2013-08-01,7286,6323
2013-07-31,7197,6564
2013-07-30,6882,6403
2013-07-29,8276,8148
2013-07-28,0,0
2013-07-27,2257,4153
2013-07-26,3011,5007
2013-07-25,3986,5010
2013-07-24,3689,4845
2013-07-23,3462,5113
2013-07-22,3989,5150
2013-07-21,0,0
2013-07-20,1949,6220
2013-07-19,5194,7820
2013-07-18,5928,7334
2013-07-17,5267,7542
2013-07-16,6908,8576
2013-07-15,7751,9208
2013-07-14,0,0
2013-07-13,2335,4944
2013-07-12,3881,5114
2013-07-11,4399,5185
2013-07-10,3668,4495
2013-07-09,4513,4720
2013-07-08,3960,5226
2013-07-07,0,0
2013-07-06,2612,4996
2013-07-05,4959,6015
2013-07-04,6368,5678
2013-07-03,5081,6141
2013-07-02,6558,6950
2013-07-01,7771,7929
2013-06-30,0,0
2013-06-29,2468,6041
2013-06-28,4293,5358
2013-06-27,4961,4983
2013-06-26,3794,4255
2013-06-25,4090,5078
2013-06-24,4572,5291
2013-06-23,0,0
2013-06-22,2326,4731
2013-06-21,5986,5515
2013-06-20,6645,5400
2013-06-19,5355,5116
2013-06-18,7131,6040
2013-06-17,8248,7704
2013-06-16,0,0
2013-06-15,2653,5094
2013-06-14,3828,4919
2013-06-13,4608,4880
2013-06-12,4295,4308
2013-06-11,4875,4559
2013-06-10,4942,5330
2013-06-09,0,0
2013-06-08,2791,5366
2013-06-07,5273,6058
2013-06-06,6312,4997
2013-06-05,5549,5090
2013-06-04,7059,5728
2013-06-03,7562,7387
2013-06-02,0,0
2013-06-01,2678,5321
2013-05-31,5701,8529
2013-05-30,7077,0
2013-05-29,6244,6863
2013-05-28,6662,6044
2013-05-27,8313,7262
2013-05-26,0,0
2013-05-25,2064,5562
2013-05-24,3944,4678
2013-05-23,4726,3948
2013-05-22,4062,4727
2013-05-21,4675,6111
2013-05-20,0,0
2013-05-19,0,0
2013-05-18,2549,5175
2013-05-17,5413,5511
2013-05-16,6893,5497
2013-05-15,5857,5735
2013-05-14,7531,6414
2013-05-13,7419,6902
2013-05-12,0,0
2013-05-11,2552,5021
2013-05-10,4974,5966
2013-05-09,0,0
2013-05-08,4797,5972
2013-05-07,4271,4861
2013-05-06,5090,5292
2013-05-05,0,0
2013-05-04,2517,5656
2013-05-03,5790,7080
2013-05-02,7765,7734
2013-05-01,0,0
2013-04-30,8872,7441
2013-04-29,8005,7440
2013-04-28,0,0
2013-04-27,2471,5248
2013-04-26,4663,5643
2013-04-25,6315,4698
2013-04-24,5061,5600
2013-04-23,6195,6088
2013-04-22,7436,6622
2013-04-21,0,0
2013-04-20,2562,4529
2013-04-19,3739,5359
2013-04-18,5039,4799
2013-04-17,3825,4227
2013-04-16,4346,4535
2013-04-15,3837,4665
2013-04-14,0,0
2013-04-13,2202,4873
2013-04-12,5379,6055
2013-04-11,6009,5770
2013-04-10,5239,4779
2013-04-09,6875,6101
2013-04-08,8004,7024
2013-04-07,0,0
2013-04-06,2646,5046
2013-04-05,4100,4623
2013-04-04,4649,4219
2013-04-03,4358,5048
2013-04-02,5409,5762
2013-04-01,0,0
2013-03-31,0,0
2013-03-30,3500,6457
2013-03-29,0,0
2013-03-28,8966,8515
2013-03-27,6482,6816
2013-03-26,7070,6257
2013-03-25,7724,6717
2013-03-24,0,0
2013-03-23,2284,4557
2013-03-22,4778,6215
2013-03-21,6808,5414
2013-03-20,7031,5096
2013-03-19,6587,5996
2013-03-18,7418,7244
2013-03-17,0,0
2013-03-16,2512,4642
2013-03-15,4424,4748
2013-03-14,4878,4229
2013-03-13,3973,4521
2013-03-12,3729,4258
2013-03-11,3641,4312
2013-03-10,0,0
2013-03-09,2263,5610
2013-03-08,5223,5788
2013-03-07,6875,5227
2013-03-06,5977,5988
2013-03-05,7947,6108
2013-03-04,8279,7785
2013-03-03,0,0
2013-03-02,2574,5505
2013-03-01,4465,5578
2013-02-28,5545,5134
2013-02-27,4152,4032
2013-02-26,4031,3925
2013-02-25,4241,4373
2013-02-24,0,0
2013-02-23,2122,4676
2013-02-22,5493,5254
2013-02-21,6562,5328
2013-02-20,6324,5231
2013-02-19,6351,5713
2013-02-18,8184,6933
2013-02-17,0,0
2013-02-16,2488,5292
2013-02-15,3737,4832
2013-02-14,5316,4491
2013-02-13,3993,4613
2013-02-12,3503,4570
2013-02-11,4215,3745
2013-02-10,0,0
2013-02-09,2487,5498
2013-02-08,6035,5876
2013-02-07,6833,5320
2013-02-06,6237,6396
2013-02-05,6901,6691
2013-02-04,8273,7431
2013-02-03,0,0
2013-02-02,2399,5862
2013-02-01,4406,5610
2013-01-31,5680,5098
2013-01-30,3638,4341
2013-01-29,3846,3941
2013-01-28,3459,4683
2013-01-27,0,0
2013-01-26,2366,4544
2013-01-25,5251,5501
2013-01-24,6114,5237
2013-01-23,6469,4904
2013-01-22,5893,6065
2013-01-21,7589,4658
2013-01-20,0,0
2013-01-19,2357,4883
2013-01-18,3619,5325
2013-01-17,4833,3702
2013-01-16,3508,3761
2013-01-15,4358,2724
2013-01-14,4128,4761
2013-01-13,0,0
2013-01-12,2660,4657
2013-01-11,4997,5855
2013-01-10,6084,5340
2013-01-09,5038,4699
2013-01-08,6333,6206
2013-01-07,7416,7574
2013-01-06,0,0
2013-01-05,2337,4254
2013-01-04,4059,4798
2013-01-03,4842,4602
2013-01-02,5419,4903
2013-01-01,0,0
